Name|Surname|Affiliation
Ratsameetip|Wita|Chiang Mai University
Kamonphop|Srisopha|Chiang Mai University
Rathachai|Chawuthai|King Mongkut's Institute of Technology Ladkrabang
Phuong Minh|Nguyen|Japan Advanced Institute of Science and Technology
Mohammad Golam|Sohrab|National Institute of Advanced Industrial Science and Technology
Naruemon|Pratanwanich|Chulalongkorn University
Munasinghe|Lankeshwara|Robert Gordon University
Flavius|Frasincar|Erasmus University Rotterdam
Ana-Maria|Bucur|University of Bucharest
Valeriya|Goloviznina|Vyatka State University
Benedetta|Muscato|University of Pisa
Jelena|Mitrović|Faculty of Computer Science and Mathematics\nUniversity of Passau
Roberto|Nai|University of Torino
Sabrina|Villata|Università degli Studi di Torino
Dror|Mughaz|Lev Academic Center
Sowmya|Kamath S.|National Institute of Technology Karnataka
Greta|Damo|Université Côte d'Azur
Mauro|Dragoni|Fondazione Bruno Kessler
L. Alfonso|Ureña-López|University of Jan
Luigi|Lomasto|Università degli studi di Salerno
Zoubida|Kedad|University of Versailles
Patrizio|Bellan|Fondazione Bruno Kessler and Free University of Bozen-Bolzano
Luisa|Mich|University of Trento
Sunil|Vadera|University of Salford
Rafael|Muñoz|University of Alicante
Helmut|Horacek|Saarland University
Gennaro|Vessio|University of Bari
Mathieu|Roche|Cirad, TETIS
Valerio|Basile|University of Turin
Davide|Audrito|University of Bologna
Danilo|Croce|University of Roma Tor Vergata
Pier Felice|Balestrucci|Università degli Studi di Torino
Maguelonne|Teisseire|Irstea\nUMR Tetis
Komal|Florio|Università di Torino\nDipartimento di Informatica
Alessandro|Bondielli|Università di Pisa
Lucia|Siciliani|Dipartimento di Informatica\nUniversity of Bari Aldo Moro
Christian|Kop|Alpen-Adria-Universitt Klagenfurt
Emilio|Sulis|University of Turin
Alessio|Miaschi|Institute for Computational Linguistics\n"A. Zampolli" (CNR-ILC)
Epaminondas|Kapetanios|University of Hertfordshire
Marco|Viviani|Università degli Studi di Milano-Bicocca
Giancarlo|Sperlì|University of Naples Federico II
Ziwei|Xu|National Institute of Advanced Industrial Science and Technology
Chaya|Liebeskind|Jerusalem College of Technology
Krishnaprasad|Thirunarayan|Wright State University
Davide|Buscaldi|Universit� Paris
Lucia|Cascone|University of Salerno
Tiberio|Uricchio|University of Macerata
Ahsaas|Bajaj|Netaji Subhas Institute of Technology
Muhammad Yasir|Shabir|University of Turin\nItaly
Manjula|Perkinian|VIT.chennai
Stefano|Locci|Università degli Studi di Torino
Elena|Cabrio|Université Côte d'Azur
Luigi|Di Caro|University of Torino
Natalia|Loukachevitch|Research Computing Center of Moscow State University
Federico|Torrielli|University of Torino
Isabelle|Comyn-Wattiau|ESSEC Business School
Vladimir A.|Fomichov|Moscow Aviation Institute
Mithun|Balakrishna|Lymba Corporation
Manuel|Montes-Y-Gómez|Instituto Nacional de Astrofísica\nÓptica y Electrónica
Raja|Chiky|ISEP
Simona|Frenda|Università degli studi di Torino and Universitat Politecnica de Valencia
Davide|Picca|University of Lausanne
Asad|Abdi|University od Derby
Evgeny|Kotelnikov|Vyatka State University
Jacky|Akoka|CEDRIC-CNAM
Soto|Montalvo|Universidad Rey Juan Carlos
Fouzi|Harrag|Ferhat Abbas University
Riccardo|Renzulli|Università degli Studi di Torino
Somnath|Banerjee|University of Tartu
Nada|Mimouni|CEDRIC lab\nCNAM Conservatoire National des Arts et Métiers Paris
Cédric|Lopez|Emvista
Imene|Bensalem|ESCF de Constantine and Constantine 2 University
Federico|Ruggeri|University of Bologna
Yasir|Arfat|University of Turin
Stephan|Reiff-Marganiec|University of Derby
Dan|Tufis|Institutul de Cercetari pentru Inteligenta Artificiala\nAcademia Romana
Paloma|Martínez Fernández|Universidad Carlos III de Madrid
Esau|Villatoro-Tello|Idiap Research Institute
Peerapon|Vateekul|Chulalongkorn University
Dittaya|Wanvarie|Chulalongkorn University
Sumeth|Yuenyong|Mahidol University
Thanapon|Noraset|Mahidol University
Konlakorn|Wongpatikaseree|Mahidol University
Rungsiman|Nararatwong|OUTSCALE, Dassault Systèmes
Krung|Sinapiromsaran|Chulalongkorn University
Irene|Siragusa|Università degli Studi di Palermo
Vladimiro|Lovera Rulfi|Università Di Bologna
Areerat|Trongratsameethong|Chiang Mai University
