Name|Surname|Affiliation
Asad|Abdi|University od Derby
Jacky|Akoka|CEDRIC-CNAM
Yasir|Arfat|University of Derby
Davide|Audrito|University of Bologna
Mithun|Balakrishna|Lymba Corporation
Pier Felice|Balestrucci|Università degli Studi di Torino
Somnath|Banerjee|University of Tartu
Valerio|Basile|University of Turin
Patrizio|Bellan|Fondazione Bruno Kessler
Imene|Bensalem|ESCF de Constantine and Constantine 2 University
Alessandro|Bondielli|Università di Pisa
Ana-Maria|Bucur|University of Bucharest
Davide|Buscaldi|Sorbonne Paris Cité
Elena|Cabrio|Université Côte d'Azur
Lucia|Cascone|University of Salerno
Raja|Chiky|3iL ingénieurs| Xlim
Isabelle|Comyn-Wattiau|ESSEC Business School
Danilo|Croce|Univ. of Roma Tor Vergata
Greta|Damo|Université Côte d'Azur
Luigi|Di Caro|University of Turin
Mauro|Dragoni|Fondazione Bruno Kessler
Komal|Florio|University of Turin
Vladimir|Fomichov|Moscow Aviation Institute (National Research University)
Flavius|Frasincar|Erasmus University Rotterdam
Simona|Frenda|Heriot-Watt University
Valeriya|Goloviznina|Vyatka State University
Fouzi|Harrag|Ferhat Abbas University
Helmut|Horacek|Saarland University
Ryutaro|Ichise|Institute of Science Tokyo
Epaminondas|Kapetanios|University of Hertfordshire
Zoubida|Kedad|University of Versailles
Natthawut|Kertkeidkachorn|Japan Advanced Institute of Science and Technology
Christian|Kop|University of Klagenfurt
Evgeny|Kotelnikov|European University at St. Petersburg
Stefano|Locci|Università degli Studi di Torino
Luigi|Lomasto|Università degli studi di Salerno
Cédric|Lopez|Emvista
Natalia|Loukachevitch|Research Computing Center of Moscow State University
Vladimiro|Lovera Rulfi|Università Di Bologna
Paloma|Martínez Fernández|Universidad Carlos III de Madrid
Farid|Meziane|University of Derby
Alessio|Miaschi|Institute for Computational Linguistics
Luisa|Mich|University of Trento
Nada|Mimouni|CNAM Conservatoire National des Arts et Métiers Paris
Jelena|Mitrović|University of Passau
Soto|Montalvo|Universidad Rey Juan Carlos
Manuel|Montes-Y-Gómez|Instituto Nacional de Astrofísica| Óptica y Electrónica
Dror|Mughaz|Lev Academic Center
Rafael|Muñoz|University of Alicante
Benedetta|Muscato|University of Pisa
Roberto|Nai|University of Torino
Rungsiman|Nararatwong|National Institute of Advanced Industrial Science and Technology
Thanapon|Noraset|Mahidol University
Manjula|Perkinian|VIT.chennai
Davide|Picca|University of Lausanne
Stephan|Reiff-Marganiec|University of Derby| School of Computing
Mathieu|Roche|Cirad| TETIS
Muhammad Yasir|Shabir|University of Turin
Kiyoaki|Shirai|Japan Advanced Institute of Science and Technology
Lucia|Siciliani|University of Bari Aldo Moro
Krung|Sinapiromsaran|Chulalongkorn University
Irene|Siragusa|Università degli Studi di Palermo
Giancarlo|Sperlì|University of Naples Federico II
Vijayan|Sugumaran|Oakland University
Emilio|Sulis|University of Turin
Maguelonne|Teisseire|Irstea - UMR Tetis
Krishnaprasad|Thirunarayan|Wright State University
Federico|Torrielli|University of Torino
Areerat|Trongratsameethong|Chiang Mai University
Dan|Tufis|Institutul de Cercetari pentru Inteligenta Artificiala
L. Alfonso|Ureña-López|University of Jan
Tiberio|Uricchio|University of Pisa
Sunil|Vadera|University of Salford
Peerapon|Vateekul|Chulalongkorn University
Gennaro|Vessio|University of Bari
Sabrina|Villata|Università degli Studi di Torino
Esau|Villatoro-Tello|Idiap
Dittaya|Wanvarie|Chulalongkorn University
Konlakorn|Wongpatikaseree|Mahidol University
Ziwei|Xu|Institute of Science Tokyo
Sumeth|Yuenyong|Mahidol University
